"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Pakistan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2012; (FAO, GlobalData, IWSR, Wine Institute) 2013-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.01","0.01","0.01","0.01","0.01","0.01"
"Panama","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","6.14","6.00","5.46","5.07","4.90","4.97","4.92","4.94","4.90","5.08"
"Panama","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","4.04","3.86","3.48","3.15","2.93","2.94","2.78","2.76","2.81","2.91"
"Panama","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.23","0.24","0.21","0.18","0.17","0.16","0.14","0.13","0.13","0.12"
"Panama","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.86","1.89","1.76","1.73","1.78","1.86","1.99","2.04","1.95","2.04"
"Panama","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Papua New Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine institute) 2000-2017","All types","0.78","0.77","0.67","0.61","0.80","0.55","0.56","0.58","0.65","0.67"
"Papua New Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine institute) 2000-2017","Beer","0.75","0.72","0.64","0.58","0.77","0.53","0.54","0.56","0.60","0.55"
"Papua New Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine institute) 2000-2017","Wine","0.02","0.02","0.01","0.02","0.02","0.01","0.01","0.01","0.01","0.01"
"Papua New Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine institute) 2000-2017","Spirits","0.01","0.03","0.02","0.02","0.01","0.01","0.01","0.00","0.04","0.10"
"Papua New Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Paraguay","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","6.06","6.89","6.03","5.92","5.51","5.17","4.49","4.81","5.49","5.64"
"Paraguay","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","3.27","3.55","2.98","3.00","2.84","2.63","2.27","2.66","3.08","2.98"
"Paraguay","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","1.22","1.69","1.27","1.19","0.94","0.83","0.52","0.44","0.62","0.92"
"Paraguay","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","1.53","1.61","1.74","1.70","1.70","1.68","1.68","1.67","1.75","1.70"
"Paraguay","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Peru","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","All types","5.04","4.95","4.51","4.48","4.65","4.54","4.59","3.93","4.09","4.76"
"Peru","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Beer","3.07","2.85","2.60","2.33","2.14","1.91","1.77","1.65","1.58","1.85"
"Peru","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Wine","0.35","0.43","0.42","0.42","0.41","0.35","0.35","0.32","0.30","0.23"
"Peru","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Spirits","1.62","1.66","1.49","1.72","2.10","2.27","2.46","1.95","2.21","2.67"
"Peru","(WDT) 1961-1999; (FAO, GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Philippines","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","4.34","4.15","4.14","4.05","4.19","4.42","4.42","4.39","4.53","4.72"
"Philippines","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","1.21","1.22","1.18","1.14","1.29","1.35","1.20","1.10","1.12","1.18"
"Philippines","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Philippines","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","3.08","2.90","2.94","2.90","2.89","3.06","3.21","3.28","3.40","3.52"
"Philippines","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.03","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Poland","(WDT) 1961-1999; WHO 2000-2004; Statistics Poland 2005-2018","All types","10.17","10.80","10.39","9.74","9.07","9.19","9.06","8.02","7.74","8.40"
"Poland","(WDT) 1961-1999; WHO 2000-2004; Statistics Poland 2005-2018","Beer","5.39","5.59","5.55","5.21","4.84","4.66","4.51","4.31","4.08","4.14"
"Poland","(WDT) 1961-1999; WHO 2000-2004; Statistics Poland 2005-2018","Wine","0.99","1.18","1.27","1.30","1.24","1.53","1.64","1.64","1.56","1.78"
"Poland","(WDT) 1961-1999; WHO 2000-2004; Statistics Poland 2005-2018","Spirits","3.78","4.03","3.57","3.22","3.00","3.01","2.90","2.07","2.09","2.48"
"Poland","(WDT) 1961-1999; WHO 2000-2004; Statistics Poland 2005-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Portugal","(WDT) 1963-1999; Statistics Portugal 2000-2016","All types","11.50","11.47","11.54","11.81","11.97","12.26","12.22","12.50","12.63","12.77"
"Portugal","(WDT) 1963-1999; Statistics Portugal 2000-2016","Beer","3.04","3.10","3.16","3.21","3.27","3.32","3.22","3.22","3.28","3.45"
"Portugal","(WDT) 1963-1999; Statistics Portugal 2000-2016","Wine","6.46","6.14","5.99","6.26","6.37","6.43","6.49","6.44","6.51","6.52"
"Portugal","(WDT) 1963-1999; Statistics Portugal 2000-2016","Spirits","1.63","1.85","2.01","2.01","2.01","2.13","2.13","2.46","2.46","2.41"
"Portugal","(WDT) 1963-1999; Statistics Portugal 2000-2016","Other alcoholic beverages","0.38","0.38","0.38","0.33","0.33","0.38","0.38","0.38","0.38","0.38"
"Qatar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","1.09","1.15","1.16","1.13","1.08","1.00","0.92","0.83","0.75","0.55"
"Qatar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.33","0.34","0.36","0.38","0.33","0.25","0.23","0.19","0.13","0.09"
"Qatar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.10","0.10","0.10","0.10","0.09","0.09","0.08","0.07","0.06","0.06"
"Qatar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.65","0.71","0.69","0.65","0.66","0.66","0.62","0.57","0.56","0.41"
"Qatar","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Republic of Korea","(FAO) 1961-1999; WHO 2000-2017","All types","8.97","9.31","9.05","8.83","9.03","9.18","9.66","9.55","11.45","10.33"
"Republic of Korea","(FAO) 1961-1999; WHO 2000-2017","Beer","2.37","2.43","2.34","2.22","1.89","2.25","2.28","2.37","2.33","2.19"
"Republic of Korea","(FAO) 1961-1999; WHO 2000-2017","Wine","0.14","0.18","0.19","0.14","0.12","0.06","0.06","0.04","0.03","0.03"
"Republic of Korea","(FAO) 1961-1999; WHO 2000-2017","Spirits","0.27","0.33","0.37","0.33","0.34","0.94","0.68","0.67","0.87","0.72"
"Republic of Korea","(FAO) 1961-1999; WHO 2000-2017","Other alcoholic beverages","6.19","6.37","6.15","6.14","6.68","5.93","6.64","6.46","8.22","7.39"
"Republic of Moldova","(FAO) 1992-1999; (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017","All types","6.24","7.72","7.81","7.94","11.81","7.61","6.27","5.84","6.34","6.76"
"Republic of Moldova","(FAO) 1992-1999; (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017","Beer","1.60","1.96","1.92","1.68","1.45","1.27","1.00","0.82","0.62","0.47"
"Republic of Moldova","(FAO) 1992-1999; (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017","Wine","2.68","3.07","2.91","2.20","5.11","0.76","0.74","0.76","1.58","2.16"
"Republic of Moldova","(FAO) 1992-1999; (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017","Spirits","1.55","2.15","2.55","3.27","3.34","4.94","3.89","3.64","3.51","3.50"
"Republic of Moldova","(FAO) 1992-1999; (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017","Other alcoholic beverages","0.41","0.54","0.44","0.79","1.91","0.63","0.63","0.63","0.63","0.63"
"Romania","(WDT) 1963-1999; National Institute of Statistics 2000-2017","All types","11.01","12.38","11.06","9.89","9.63","11.77","11.55","13.15","12.07","9.00"
"Romania","(WDT) 1963-1999; National Institute of Statistics 2000-2017","Beer","5.19","5.74","5.62","4.64","4.08","4.25","3.65","3.40","3.32","3.38"
"Romania","(WDT) 1963-1999; National Institute of Statistics 2000-2017","Wine","3.33","3.67","3.43","3.00","2.34","4.30","3.34","3.93","3.74","3.42"
"Romania","(WDT) 1963-1999; National Institute of Statistics 2000-2017","Spirits","2.49","2.96","2.01","2.25","3.21","3.23","4.57","5.82","5.01","2.21"
"Romania","(WDT) 1963-1999; National Institute of Statistics 2000-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Russian Federation","(WDT) 1963-1999; Russian Statistical Office (ROSSTAT) 2000-2018","All types","11.25","12.09","12.24","11.83","11.59","11.50","11.32","10.87","10.47","10.21"
"Russian Federation","(WDT) 1963-1999; Russian Statistical Office (ROSSTAT) 2000-2018","Beer","4.20","4.66","4.72","4.11","3.66","3.47","3.10","2.92","2.63","2.19"
"Russian Federation","(WDT) 1963-1999; Russian Statistical Office (ROSSTAT) 2000-2018","Wine","1.26","1.27","1.17","1.00","1.03","0.95","0.90","0.80","0.75","0.71"
"Russian Federation","(WDT) 1963-1999; Russian Statistical Office (ROSSTAT) 2000-2018","Spirits","5.79","6.16","6.34","6.72","6.90","7.09","7.32","7.15","7.09","7.31"
"Russian Federation","(WDT) 1963-1999; Russian Statistical Office (ROSSTAT) 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Rwanda","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","7.30","7.51","7.84","8.79","9.25","7.83","8.65","9.16","9.27","8.71"
"Rwanda","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.71","0.57","0.65","0.63","0.54","0.46","0.45","0.58","0.54","0.58"
"Rwanda","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Rwanda","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.03","0.03","0.03","0.02","0","0","0","0","0","0"
"Rwanda","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","6.55","6.91","7.16","8.15","8.71","7.38","8.20","8.57","8.73","8.12"
"Saint Kitts and Nevis","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","All types","9.92","10.53","10.97","11.81","11.10","9.87","9.27","8.95","9.28","8.82"
"Saint Kitts and Nevis","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Beer","3.58","3.76","3.92","4.00","3.88","3.42","3.17","3.11","3.56","3.63"
"Saint Kitts and Nevis","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Wine","1.23","1.28","1.26","1.24","1.21","1.14","0.88","0.89","1.05","1.00"
"Saint Kitts and Nevis","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Spirits","4.87","5.23","5.53","6.31","5.78","5.28","5.18","4.91","4.62","4.15"
"Saint Kitts and Nevis","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.24","0.26","0.26","0.25","0.23","0.04","0.04","0.04","0.04","0.04"
"Saint Lucia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","11.06","12.05","12.59","13.02","12.87","12.58","13.78","13.15","12.92","12.80"
"Saint Lucia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","3.29","3.49","3.86","3.82","3.57","3.39","3.36","3.11","3.22","3.22"
"Saint Lucia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","1.17","1.25","1.28","1.27","1.28","1.32","1.32","1.29","1.30","1.45"
"Saint Lucia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","5.90","6.45","6.56","7.07","7.16","7.03","8.28","7.91","7.56","7.30"
"Saint Lucia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.71","0.85","0.89","0.86","0.86","0.83","0.83","0.83","0.83","0.83"
"Saint Vincent and the Grenadines","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","All types","6.98","7.17","6.20","6.22","6.37","5.77","5.47","5.21","5.07","5.13"
"Saint Vincent and the Grenadines","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Beer","2.29","2.37","2.47","2.59","2.43","2.03","1.84","1.92","1.97","1.96"
"Saint Vincent and the Grenadines","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Wine","0.55","0.57","0.60","0.56","0.52","0.49","0.45","0.46","0.42","0.41"
"Saint Vincent and the Grenadines","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Spirits","4.00","4.10","3.00","2.95","3.32","3.15","3.13","2.82","2.67","2.75"
"Saint Vincent and the Grenadines","(FAO) 1990-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.14","0.13","0.12","0.12","0.10","0.10","0.05","0.01","0.01","0.01"
"Samoa","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","2.88","3.97","3.85","3.52","3.63","3.62","4.16","3.29","3.42","3.00"
"Samoa","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","2.55","3.65","3.60","3.37","3.31","3.30","3.70","3.03","3.25","2.85"
"Samoa","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.06","0.05","0.09","0.09","0.08","0.06","0.06","0.05","0.02","0.03"
"Samoa","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.26","0.27","0.17","0.07","0.24","0.26","0.40","0.22","0.15","0.12"
"Samoa","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sao Tome and Principe","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","All types","4.34","4.56","4.32","5.68","5.50","5.92","6.70","5.93","5.10","5.07"
"Sao Tome and Principe","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Beer","0.94","0.99","0.99","1.05","1.12","1.12","1.14","1.16","1.15","1.17"
"Sao Tome and Principe","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Wine","2.79","2.83","2.71","4.02","3.55","4.05","4.79","4.05","3.06","3.26"
"Sao Tome and Principe","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Spirits","0.60","0.74","0.62","0.61","0.83","0.75","0.77","0.72","0.89","0.64"
"Sao Tome and Principe","(FAO) 1961-2000; (FAO, Wine Institute) 2001-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","All types","0.09","0.08","0.09","0.08","0.05","0.06","0.06","0.06","0.05","0.05"
"Saudi Arabia","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Beer","0","0","0","0","0","0","0","0","0","0"
"Saudi Arabia","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Saudi Arabia","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Spirits","0.09","0.08","0.09","0.08","0.05","0.06","0.05","0.05","0.05","0.05"
"Saudi Arabia","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","0.31","0.36","0.34","0.37","0.34","0.36","0.19","0.22","0.24","0.24"
"Senegal","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.15","0.18","0.17","0.16","0.16","0.16","0.13","0.14","0.16","0.16"
"Senegal","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.13","0.15","0.13","0.16","0.13","0.17","0.03","0.04","0.04","0.04"
"Senegal","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.03","0.03","0.03","0.05","0.04","0.04","0.03","0.04","0.04","0.04"
"Senegal","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Serbia","(GlobalData, IWSR, OIV) 2006-2018","All types","9.78","9.59","9.42","8.82","","","","","",""
"Serbia","(GlobalData, IWSR, OIV) 2006-2018","Beer","3.25","3.74","3.89","3.93","","","","","",""
"Serbia","(GlobalData, IWSR, OIV) 2006-2018","Wine","4.01","3.34","3.01","2.36","","","","","",""
"Serbia","(GlobalData, IWSR, OIV) 2006-2018","Spirits","2.29","2.29","2.29","2.32","","","","","",""
"Serbia","(GlobalData, IWSR, OIV) 2006-2018","Other alcoholic beverages","0.23","0.23","0.22","0.22","","","","","",""
"Seychelles","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","5.20","6.68","7.25","6.43","6.60","6.56","7.35","8.13","6.84","8.33"
"Seychelles","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","2.72","4.49","4.76","4.52","5.10","4.99","5.75","6.32","6.02","6.21"
"Seychelles","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","1.50","1.31","1.01","1.06","0.63","0.57","0.80","0.90","0.41","1.06"
"Seychelles","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.89","0.81","1.38","0.80","0.82","0.95","0.80","0.90","0.41","1.06"
"Seychelles","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.10","0.07","0.10","0.06","0.05","0.05","0","0","0","0"
"Sierra Leone","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","3.98","3.83","3.67","3.68","3.65","3.81","3.87","3.90","3.98","3.75"
"Sierra Leone","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.18","0.17","0.13","0.14","0.13","0.13","0.13","0.13","0.13","0.12"
"Sierra Leone","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.34","0.22","0.09","0.15","0.09","0.09","0.06","0.11","0.04","0.04"
"Sierra Leone","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.05","0.01","0.01","0.01","0.02","0.03","0.03","0.02","0","0.03"
"Sierra Leone","(FAO) 1990-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","3.41","3.42","3.44","3.38","3.42","3.56","3.65","3.64","3.81","3.56"
"Singapore","(FAO) 1961-1984; (WDT) 1985-2002; Singapore National Statistics 2003-2018","All types","1.73","1.69","1.59","1.55","1.49","1.44","1.43","2.16","2.08","2.02"
"Singapore","(FAO) 1961-1984; (WDT) 1985-2002; Singapore National Statistics 2003-2018","Beer","1.22","1.22","1.13","1.14","1.10","1.07","1.06","1.47","1.34","1.29"
"Singapore","(FAO) 1961-1984; (WDT) 1985-2002; Singapore National Statistics 2003-2018","Wine","0.23","0.23","0.22","0.20","0.18","0.17","0.15","0.20","0.13","0.12"
"Singapore","(FAO) 1961-1984; (WDT) 1985-2002; Singapore National Statistics 2003-2018","Spirits","0.25","0.22","0.22","0.19","0.18","0.17","0.17","0.49","0.61","0.61"
"Singapore","(FAO) 1961-1984; (WDT) 1985-2002; Singapore National Statistics 2003-2018","Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0","0","0"
"Slovakia","(WDT) 1961-1999; Statistics Slovakia (SlovStat) 2000-2017","All types","11.13","11.87","10.96","10.89","11.06","10.52","10.23","11.16","11.12","11.33"
"Slovakia","(WDT) 1961-1999; Statistics Slovakia (SlovStat) 2000-2017","Beer","3.91","3.80","3.93","3.83","3.85","3.99","4.38","4.54","4.32","4.48"
"Slovakia","(WDT) 1961-1999; Statistics Slovakia (SlovStat) 2000-2017","Wine","2.13","2.02","1.79","2.15","1.56","1.81","1.83","1.96","1.85","1.74"
"Slovakia","(WDT) 1961-1999; Statistics Slovakia (SlovStat) 2000-2017","Spirits","4.62","5.58","4.89","4.31","5.41","4.23","3.65","4.29","4.57","4.86"
"Slovakia","(WDT) 1961-1999; Statistics Slovakia (SlovStat) 2000-2017","Other alcoholic beverages","0.47","0.47","0.36","0.60","0.24","0.48","0.37","0.37","0.37","0.25"
"Slovenia","(FAO) 1981-1999; WHO 2000-2005; National Institute of Public Health 2006-2018","All types","10.52","10.94","11.02","12.26","11.19","10.01","11.55","9.87","11.58","12.80"
"Slovenia","(FAO) 1981-1999; WHO 2000-2005; National Institute of Public Health 2006-2018","Beer","5.09","5.16","5.70","5.70","4.70","4.51","4.51","4.32","4.65","5.13"
"Slovenia","(FAO) 1981-1999; WHO 2000-2005; National Institute of Public Health 2006-2018","Wine","4.55","4.58","4.08","5.43","5.22","4.18","5.46","3.86","5.07","5.82"
"Slovenia","(FAO) 1981-1999; WHO 2000-2005; National Institute of Public Health 2006-2018","Spirits","0.88","1.20","1.24","1.13","1.09","1.11","1.58","1.69","1.87","1.84"
"Slovenia","(FAO) 1981-1999; WHO 2000-2005; National Institute of Public Health 2006-2018","Other alcoholic beverages","0","0","0","0","0.19","0.20","0","0","0","0.01"
"Solomon Islands","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","1.20","1.07","0.82","1.01","1.13","1.21","1.20","1.09","0.70","0.71"
"Solomon Islands","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.95","1.01","0.74","0.95","0.67","0.76","0.75","0.59","0.45","0.63"
"Solomon Islands","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.02","0.02","0.03","0.02","0.03","0.02","0.02","0.01","0.01","0.01"
"Solomon Islands","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.22","0.04","0.05","0.03","0.41","0.42","0.43","0.48","0.24","0.07"
"Solomon Islands","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.02","0","0.00","0.00","0","0"
"Somalia","(FAO) 1961-2016","All types","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Somalia","(FAO) 1961-2016","Beer","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Somalia","(FAO) 1961-2016","Wine","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Somalia","(FAO) 1961-2016","Spirits","0","0","0.00","0","0","0","0","0","0","0"
"Somalia","(FAO) 1961-2016","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"South Africa","(WDT) 1961-1999;  (SAWIS) 2000-2018","All types","7.25","7.46","7.50","7.30","7.17","7.20","7.32","7.47","7.56","7.70"
"South Africa","(WDT) 1961-1999;  (SAWIS) 2000-2018","Beer","4.09","4.16","4.19","4.14","4.13","4.16","4.29","4.21","4.28","4.40"
"South Africa","(WDT) 1961-1999;  (SAWIS) 2000-2018","Wine","1.27","1.35","1.37","1.33","1.34","1.38","1.38","1.58","1.60","1.60"
"South Africa","(WDT) 1961-1999;  (SAWIS) 2000-2018","Spirits","1.31","1.39","1.39","1.36","1.32","1.31","1.30","1.33","1.33","1.39"
"South Africa","(WDT) 1961-1999;  (SAWIS) 2000-2018","Other alcoholic beverages","0.57","0.56","0.54","0.47","0.39","0.35","0.35","0.36","0.35","0.32"
"Spain","(WDT) 1962-99; Agencia Tributaria 2000-04;  WHO  2005-09; (Spain,WHO) 2010; (Spain) 2011-18","All types","9.99","10.24","11.05","11.86","11.92","11.32","11.04","10.41","12.01","11.61"
"Spain","(WDT) 1962-99; Agencia Tributaria 2000-04;  WHO  2005-09; (Spain,WHO) 2010; (Spain) 2011-18","Beer","4.98","4.92","5.09","5.15","4.98","4.08","4.10","3.82","3.89","3.78"
"Spain","(WDT) 1962-99; Agencia Tributaria 2000-04;  WHO  2005-09; (Spain,WHO) 2010; (Spain) 2011-18","Wine","2.28","2.44","2.78","3.43","3.67","3.87","3.80","4.00","4.18","4.51"
"Spain","(WDT) 1962-99; Agencia Tributaria 2000-04;  WHO  2005-09; (Spain,WHO) 2010; (Spain) 2011-18","Spirits","2.73","2.88","3.18","3.28","3.27","3.37","3.15","2.59","3.93","3.33"
"Spain","(WDT) 1962-99; Agencia Tributaria 2000-04;  WHO  2005-09; (Spain,WHO) 2010; (Spain) 2011-18","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Sri Lanka","(FAO) 1961-1999; (Excise Data, WHO ) 2000-2011; Excise Data 2012-2017","All types","2.05","2.10","2.29","1.96","1.97","1.56","1.69","1.62","1.68","1.45"
"Sri Lanka","(FAO) 1961-1999; (Excise Data, WHO ) 2000-2011; Excise Data 2012-2017","Beer","0.20","0.20","0.20","0.20","0.30","0.17","0.15","0.15","0.10","0.10"
"Sri Lanka","(FAO) 1961-1999; (Excise Data, WHO ) 2000-2011; Excise Data 2012-2017","Wine","0","0","0","0","0","0","0.01","0.01","0","0.01"
"Sri Lanka","(FAO) 1961-1999; (Excise Data, WHO ) 2000-2011; Excise Data 2012-2017","Spirits","1.81","1.86","2.05","1.72","1.63","1.39","1.53","1.46","1.58","1.34"
"Sri Lanka","(FAO) 1961-1999; (Excise Data, WHO ) 2000-2011; Excise Data 2012-2017","Other alcoholic beverages","0.04","0.04","0.04","0.04","0.04","0.00","0.00","0.00","0.00","0.00"
"Suriname","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","4.93","4.82","4.69","4.57","4.52","4.66","4.70","4.58","4.41","4.46"
"Suriname","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","2.00","1.92","1.73","1.66","1.55","1.66","1.67","1.70","1.74","1.69"
"Suriname","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.13","0.13","0.12","0.12","0.12","0.11","0.11","0.10","0.09","0.08"
"Suriname","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","2.65","2.62","2.69","2.64","2.75","2.79","2.83","2.69","2.48","2.60"
"Suriname","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.15","0.15","0.15","0.14","0.09","0.09","0.09","0.09","0.09","0.09"
"Sweden","(WDT) 1961-1999; Central Association for Alcohol and Drug Information 2000-2018","All types","7.31","7.02","6.98","6.81","6.53","6.51","6.88","6.88","6.50","6.20"
